probe	RB_E_001	RB_E_002	RB_E_003	RB_E_004	RB_E_005	RB_E_006	RB_E_007	RB_E_008	RB_E_009	RB_E_011	RB_E_012	RB_E_013	RB_E_014	RB_E_015	RB_E_016	RB_E_017	RB_E_019	RB_E_020	RB_E_021	RB_E_022	RB_E_023	RB_E_025	RB_E_026	RB_E_027	RB_E_028	RB_E_029	RB_E_030	RB_E_030_IC	RB_E_032	RB_E_033	RB_E_034	RB_E_035	RB_E_036	RB_E_037	RB_E_040	RB_E_042	RB_E_044	RB_E_045	RB_E_046_IC	RB_E_048_IC	RB_E_049_IC	RB_E_050	RB_E_051	RB_E_052	RB_E_053	RB_E_054	RB_E_055	RB_E_056	RB_E_057	RB_E_058	RB_E_059	RB_E_060	RB_E_061	RB_E_063	RB_E_064	RB_E_065	RB_E_066	RB_E_067	RB_E_069_FR	RB_E_076	RB_E_077	RB_E_078	RB_E_079	RB_E_080	RB_E_081
cg00000714	37775	35657	36274	34457	35850	36629	33255	28482	35871	23418	24149	36721	24480	21859	20502	23816	24813	23137	27369	19264	19881	37846	38236	37332	38699	41300	20823	21671	37850	28675	34834	35500	36380	40393	21576	37070	22125	38950	26109	17703	16775	24594	23540	28287	24131	25427	37465	37484	35523	39016	32185	38221	34700	42810	30617	35988	39378	30649	35421	29994	31226	33755	36647	32769	31729
cg00000721	853	616	791	826	601	398	534	1493	642	606	743	939	612	667	793	1302	799	716	848	592	955	794	762	692	889	1157	1021	1740	742	707	895	429	1119	1263	631	932	795	889	1071	1239	844	698	1736	874	1018	596	629	1316	677	590	655	877	676	657	815	732	672	458	682	362	357	314	367	258	293
cg00000734	22277	24662	23031	21565	22495	23883	22314	21503	23851	14717	15673	22847	15685	14310	13457	14932	15134	14458	16712	12395	12930	23590	22029	18815	24346	21989	13331	15646	22890	15869	23761	23495	24853	25108	13243	24071	13827	25297	18050	16140	14587	15902	17978	18669	15744	15650	21620	25442	24082	22710	18766	22707	22848	24126	19941	21502	23609	18994	23119	18342	17258	17935	19280	18102	19425
cg00000769	13296	14569	16034	12969	13701	14329	15898	8624	14431	10801	10674	10828	10764	7827	9394	11038	9790	9694	10375	8122	7883	13126	12266	14619	15230	14534	8131	9384	14532	11734	13910	13995	14498	14991	8944	12707	10096	14470	9923	9642	7024	9081	9991	10713	9895	10044	14502	14362	15591	16677	11531	15859	13022	16124	11517	10854	13055	12521	13175	13396	13083	12521	13219	12148	11338
cg00000807	5286	4371	5961	2499	3449	6029	7658	5181	3568	2874	2185	3497	2485	1914	2190	2966	2066	2635	3618	1979	2337	4273	3851	3756	3441	2805	2517	4276	3781	4455	3078	4658	6504	4665	2300	7469	2104	3414	4047	4159	3144	3463	3270	3302	2819	2585	4516	6186	7494	4766	4708	4656	5131	8648	6584	3731	6895	6075	8786	3887	3755	2700	8321	3837	3008
cg00000884	1128	1548	1668	1076	993	1691	2805	1617	982	1783	1577	1287	916	1357	1256	1444	1362	1220	848	884	867	941	863	1448	1707	1556	951	1779	920	814	1536	1561	1480	2124	781	1760	996	1448	1494	872	1558	1361	1771	1222	1178	1417	2219	5570	2560	3322	3565	1288	1439	2602	1272	921	1146	2069	1036	1236	525	944	854	676	621
cg00000905	8992	10353	8936	8152	9099	8829	7511	15425	9277	6787	7641	8618	7939	7998	7349	7514	8907	7479	7844	6553	5980	13381	11094	11683	8923	9288	5818	9352	8971	4644	11185	8510	10699	13815	5186	14096	6138	11124	11688	5141	7921	7773	8272	9103	8350	8137	7968	13998	9864	10743	7417	9291	9474	2276	9974	7595	10783	5813	8785	3500	3877	2760	2170	3457	3428
cg00000924	16843	14196	14206	13230	11389	13115	12310	12857	13185	9937	10631	14940	11274	9904	9412	11132	11138	11007	11565	8507	9681	13856	12994	13621	13903	14309	10076	12219	13744	14053	14733	14979	18595	16707	9392	15452	10375	17112	13982	15502	15225	11446	12289	12785	10252	11897	13876	16130	13413	14696	10320	12643	14975	14702	13217	14338	17206	14124	17291	11854	12241	14693	15382	10834	11372
cg00000948	3406	5443	9845	5867	4864	4945	10892	2137	5779	3823	1387	4237	1514	1756	2405	3100	1713	1971	1373	1436	1753	4319	3110	4819	8530	5577	1923	1638	4167	2154	4224	2767	3427	3385	1988	4553	1617	2438	1366	1135	1471	2994	2847	2403	1576	1435	4322	12267	6654	7948	7811	2747	4714	6276	2729	3665	3154	4323	3530	10665	3672	2410	4361	3481	2746
cg00000957	2611	1925	2228	1463	1603	1833	1598	2555	1249	1436	1327	1298	1399	955	1216	1583	1217	1332	1727	1034	1247	1622	1983	2244	2816	1641	1213	2080	1724	2240	1164	2196	2737	2650	1048	3591	1728	1434	1362	1389	2146	1783	1257	1669	887	1148	2537	2917	3456	3311	2109	2225	2689	2378	3200	1440	2199	2651	2658	2706	1323	2536	2040	983	868
cg00001099	2235	1276	1046	688	1319	1434	1610	1557	991	910	953	1181	1005	896	971	876	836	1024	1222	938	818	1203	1741	1050	2045	1009	823	1844	1356	1609	1021	863	1159	1343	864	1426	815	1012	2219	437	691	1303	1301	1343	657	896	2121	7031	2984	3046	1599	1677	2820	910	1215	1228	1698	4019	5683	800	636	1946	758	540	344
cg00001245	24812	23927	24016	19006	19688	20569	19259	14810	21322	18176	19924	21628	18907	17110	16913	19063	18190	18452	19751	16011	15349	23392	21086	18698	20338	20634	14694	18354	21388	21980	22762	25517	24232	26465	16784	23884	15467	24386	20600	14225	12166	18181	20461	22203	18831	19453	23988	19511	23171	24320	20070	22296	21562	23630	19272	20889	25997	20297	25160	18031	19498	19718	20363	18932	21086
cg00001249	974	1282	882	1111	1046	546	967	2007	1007	2271	1420	1088	1604	1143	1416	1377	1576	1251	1484	1029	1096	1910	1417	1573	1407	1861	1124	1143	1332	1389	1597	1038	1341	1727	998	2055	906	1940	1459	711	640	1837	1490	1131	1287	1409	2013	2541	1645	2791	2725	1093	869	592	2165	1182	1816	2329	1958	531	772	546	349	654	642
cg00001269	11309	6037	11728	8122	12956	15894	17818	4998	7652	12825	2353	5584	3993	5968	2741	5552	4754	6743	3157	2494	5676	7365	6417	5414	16298	5171	5225	8462	5429	4095	4667	7818	13509	5165	2767	6581	6858	4731	2467	2109	2714	9100	4721	6660	4713	3038	7638	18484	13046	15269	10918	14950	2822	11224	6106	2929	4620	6275	9406	16314	4961	3098	2683	3963	5545
cg00001364	1772	3656	2618	2439	2105	1989	3091	5198	2098	1730	1227	1803	996	967	848	1066	1137	774	1311	712	841	2872	1745	2451	2395	6206	1043	1342	1244	1162	2301	2239	2802	2653	810	2775	813	2444	1779	1696	1664	1300	1478	1445	1239	1277	2451	4593	3064	3827	3074	1652	2805	2122	2755	1733	3452	2045	2196	2144	1338	1468	1783	1430	1516
cg00001446	2300	1839	1952	1675	2181	1592	1614	1536	1608	1802	1684	3463	1985	1798	1729	2817	1654	1643	1615	1433	1794	2086	1885	1586	1451	1602	1431	1963	1427	2301	2192	2467	3016	2589	2369	2766	1667	1977	2244	783	1286	2682	3194	2308	1673	2249	4902	2150	2446	2235	1699	2340	2310	3328	2641	1238	2165	2344	2777	1665	2528	2303	2254	1716	1868
cg00001510	30213	28696	35084	31931	30765	30848	33299	22203	19269	24655	17252	29318	17693	18423	10284	13256	16687	18829	18722	12312	11715	26153	20779	27792	35046	25266	13597	19589	23524	19451	24720	29361	27928	30240	13156	37369	8476	24224	11234	19202	9597	21536	18117	18678	12057	17227	32629	35015	32944	39198	32416	38402	28852	35412	24332	24615	30583	27184	30718	28539	19205	15654	18073	23006	22942
cg00001534	1476	4820	1788	1260	1926	844	1257	8453	3291	875	2945	4582	4221	4687	2802	3766	5056	5245	2321	3983	2779	5289	4354	3314	968	2017	2543	2336	2966	1464	1399	1943	2855	4452	3264	5986	3500	2580	6910	2113	3588	3891	2882	4468	1458	4110	4745	8929	4909	5121	6156	1375	1127	1259	3374	2747	1708	1781	1234	1461	2226	1088	1281	1551	1737
cg00001582	26362	25396	25678	22260	22413	23874	23534	19358	25327	10901	15410	23074	14104	12482	13479	13922	14566	13734	13771	11445	12065	20245	21498	21860	23000	23835	12350	16605	22327	16598	24084	23864	22591	26809	13611	22977	13116	20078	15950	14677	12141	15107	15763	18234	13283	15412	23273	21004	23755	24676	18825	25431	24346	24627	22888	22959	24496	23504	25816	19467	24147	25084	25895	19631	23432
cg00001583	24943	28352	26592	22697	22902	20263	20147	17502	20506	19572	23262	23090	21802	18619	18654	19950	22641	19533	22437	17298	18009	25282	22810	23356	22123	21255	18249	21465	21389	20948	26728	28363	25865	27085	18908	30873	17738	26534	26503	15866	17074	19987	21677	24350	23158	21338	22907	25720	24195	23647	18909	23475	22852	20052	20473	21236	23910	19849	23651	16682	20606	16668	17697	20589	19831
cg00001593	541	490	567	525	446	387	336	470	661	605	429	158	366	306	387	420	588	595	402	426	418	657	420	671	107	652	607	726	691	515	946	441	671	635	368	1172	543	857	496	543	883	934	682	731	565	509	744	2294	839	959	1480	437	520	413	502	319	358	937	487	963	295	458	121	447	191
cg00001594	17793	15602	17589	14587	14848	17651	20229	8643	16736	10048	9990	14672	9756	8684	8403	9725	10849	9665	9651	8901	7885	16024	15992	17054	15060	15567	9086	12722	13777	11417	15580	14072	19129	16053	8569	16584	9351	16439	12394	11631	10101	10965	11739	14231	10847	10113	13678	14743	15633	14753	12455	21657	15512	16877	14370	14434	15006	12267	13511	11744	11924	12612	15270	10882	11984
cg00001687	2564	521	626	441	893	862	559	382	681	614	273	548	345	197	198	290	175	206	377	323	379	672	643	536	4187	580	428	332	473	311	471	1075	1991	616	351	1593	280	700	105	366	344	467	448	407	265	444	2007	2502	5083	2809	3157	893	372	2499	401	298	598	1661	943	325	641	368	760	338	435
cg00001747	25901	26726	27639	20311	23139	24339	22534	17280	24836	18592	16200	17025	19854	17919	16951	18890	17884	18543	20267	13430	14542	22904	25193	24158	23473	23987	16106	18144	21775	23283	25060	27391	26133	27968	16303	27722	16872	26627	21901	13635	14315	18081	18544	22690	16938	16853	26221	29154	25060	27748	22813	26609	24172	32036	21665	24665	24134	21807	23792	20493	21904	20586	25186	17508	22653
cg00001791	1112	1572	1060	2974	1933	2147	1613	2118	986	1538	736	1411	912	1108	1218	1014	1189	934	989	633	637	1927	1245	1859	1230	1690	893	1932	981	1287	1636	1744	1165	1604	737	2523	1003	1733	1355	490	910	1082	1464	1015	911	911	2987	4336	4189	3234	3103	1285	977	1148	1767	1032	1368	1604	1494	3569	592	367	624	611	594
cg00001793	737	537	720	410	514	351	931	315	506	408	310	321	335	195	275	365	238	259	433	210	303	581	324	682	1240	519	213	416	641	557	497	609	734	670	403	910	282	773	323	327	476	400	559	479	396	311	975	1054	920	2587	1865	815	745	552	767	332	722	1806	589	5060	579	178	449	336	168
cg00001809	9207	5128	13459	7469	6798	10018	25602	4888	6836	15930	3063	4958	3728	2652	3909	6957	4726	4006	3626	3913	3483	8843	5924	5141	21814	5087	4450	6142	7927	4444	7157	8563	8700	8173	3997	7272	3532	8335	3635	2805	3265	4401	9711	5148	4716	3957	14717	17477	24153	20023	15239	6488	5570	23517	4559	7670	6749	8913	6468	15564	7193	5084	5460	4166	14003
cg00001854	1155	609	797	511	893	812	1512	2082	790	1002	641	905	793	330	862	1153	1033	1066	619	740	815	1158	882	1124	934	832	1417	2793	828	475	694	1078	2589	1617	760	3228	819	1043	2025	690	1243	1197	1456	1666	691	1228	1138	2289	1226	1426	782	1357	763	784	1283	1044	1496	1582	848	696	439	666	609	540	419
cg00001874	3619	4807	3185	3126	3607	1408	1919	5630	3807	6199	7007	4966	8024	8409	7590	7864	8313	7501	2249	5827	6361	7178	5150	5571	4093	6748	5863	7966	4366	4204	6371	3860	6159	6830	5661	9023	6124	6402	9809	2642	5799	8023	8932	9634	7239	7617	5275	5224	4449	5466	4024	1996	1476	1512	4811	4568	2640	2516	4267	1634	2138	1775	1096	1618	2019
cg00001930	1807	1435	1804	1393	2066	1316	2255	5123	1328	1520	843	2768	1073	1768	1390	2161	1489	1427	808	1128	1314	2136	1501	2054	6165	2956	1042	2275	1848	707	2188	1617	2761	2695	1354	4336	1500	2891	2244	2133	2873	1495	2444	1710	1156	1421	2716	5831	5007	4540	2779	1689	1627	1365	1792	1428	1316	1979	1899	3853	1115	881	1053	851	655
cg00002028	26127	26112	23856	20807	21556	22638	23240	21926	24148	16019	17424	24299	17653	16133	14418	17028	17544	16920	19047	13327	14386	25533	22836	24197	22497	20972	13804	16758	23324	19513	19712	22673	24146	26762	14990	22983	14919	21319	19214	17198	17546	18641	15361	19875	14345	17501	23494	27587	23587	24331	20785	24606	24345	26032	21523	22679	25591	20593	26282	18461	18515	20352	20346	19500	19458
cg00002033	7027	889	5455	533	706	3125	778	3386	2297	372	2543	1544	546	239	2622	528	2379	1932	6954	4907	591	2235	7890	6872	12010	1483	2822	728	6077	8183	2306	8008	3811	1526	2716	1291	4228	1171	3074	507	1594	2935	576	1372	329	6815	12390	6020	12683	11694	6653	378	11008	13424	9394	3046	11028	10408	12606	3200	3834	6483	11618	7093	5767
cg00002080	16321	19989	19490	17603	9791	10872	13574	18001	14811	6967	8873	18863	11988	13583	12804	17868	15982	14683	8073	12367	12883	20063	13128	19300	20579	23820	10298	14467	17277	9921	19295	13407	23070	21276	10606	26083	11455	14733	14604	9357	8845	11090	17246	13398	11079	12705	19138	22347	24059	17024	17310	13332	6324	18057	13352	16826	7880	14340	4318	12389	9748	0	0	9944	7912
cg00002116	37538	37576	37906	34223	34529	41261	35515	29676	36974	21293	23782	35976	24180	21854	20761	21909	22984	23550	25853	19721	20250	38558	36447	39021	37661	39572	20103	22478	38558	27119	35777	36146	32900	41748	21180	37527	21343	39892	23400	22945	18252	23485	24109	27849	22254	24140	37538	39960	35565	38425	31641	37889	33283	41008	32910	35903	41619	32605	39609	29919	32220	33231	34032	34192	32687
cg00002145	4971	4063	4229	8404	7055	4847	19477	3230	4408	15899	4053	4003	4768	3999	3462	5997	4471	3840	3739	3433	3842	5088	4793	3647	11589	4488	3498	5947	3211	5536	5255	5168	5056	15617	3106	5700	3608	8385	5293	3188	2007	4945	6597	4917	5374	3992	15745	21466	23112	16094	11937	3206	4236	11916	4013	5967	4037	8784	3965	18434	3520	3845	2405	3917	3661
cg00002190	7008	3612	5299	4212	4742	4948	3839	4255	3282	4962	3164	7977	3251	3080	3457	4325	2969	3538	3027	2851	3575	6276	6023	4665	16957	6096	2819	4017	5433	5043	4572	4694	5021	6652	2781	6895	3017	4856	4490	762	1398	4307	3801	4479	3450	4034	11160	15628	22365	26099	14360	4801	5736	18264	5807	5461	5372	9827	5092	22042	4432	5693	2349	2164	2999
cg00002224	19322	16170	17524	13705	14400	15100	13090	12646	13694	10252	11840	16152	10951	11006	10166	11536	11640	10689	12136	9612	10107	15601	16162	16243	15700	12387	9404	12193	15508	11853	16235	14279	16674	19242	9712	16994	9644	15689	13646	7058	6316	11628	12761	13992	11240	12493	16322	15272	16633	16755	13081	15699	17073	11112	15423	15304	17576	12641	17640	10914	12969	10934	7640	11940	11726
cg00002236	20259	24051	23689	20305	21842	22285	22383	14320	23035	13015	13011	20998	13725	12300	11599	12211	12990	13286	14292	10626	10165	22053	23285	24507	26154	25161	11381	13764	21905	13106	24711	21899	24095	26590	10168	27838	11796	23721	17681	8233	6478	15262	13757	14984	14115	13916	19524	23423	22423	23619	18946	19122	23538	17184	20650	20910	23570	20702	21254	15328	13980	13941	17711	14427	17239
cg00002406	29187	27135	25184	23183	25657	23799	22741	12232	24383	17007	17367	26831	17336	15377	15413	17410	17145	16988	18663	14028	13770	24128	27472	24100	25450	23186	14867	15574	25478	18791	22396	27731	25392	30467	14861	29436	14851	24531	18087	7323	6349	18037	17622	19793	14527	18439	28333	22588	26889	27205	20884	26575	26202	24998	23171	24116	29245	22252	31158	22757	25911	26892	26372	22633	24799
cg00002426	4053	2594	1590	1916	1194	1304	1998	2573	1924	2298	2318	2029	1786	1823	1754	1611	1986	2108	6194	1641	1484	1678	3837	2775	5402	2155	2220	2627	2249	6536	3030	1436	3430	2216	1434	2539	1793	2463	4233	1483	2547	2344	2318	2718	1679	3753	10401	10560	8883	9324	7048	1556	10132	4746	7712	2342	10147	4433	15608	589	2252	940	1226	563	642
cg00002449	1834	1527	1007	836	1088	986	3000	2960	1328	1631	1744	1905	2043	1960	1770	2435	2460	1846	1482	1271	1808	2146	1968	1779	3729	1954	1370	2116	1596	1394	1753	1432	2165	3093	1396	2296	1734	1854	2532	936	2474	2543	2720	2082	1796	2211	2306	3988	3740	3002	2594	1455	989	1644	1881	1533	1644	2123	2367	647	747	1041	600	785	768
cg00002464	13042	14259	12956	16412	14859	14281	15205	9756	16036	12959	13647	15139	15888	14802	14715	14528	15432	15565	16493	12225	11404	16203	15061	15312	13765	14143	13010	12494	15880	16004	18089	15054	17584	17627	13786	16511	15254	17727	15661	6097	5674	17345	15913	17984	15550	16852	16416	18030	18757	13962	13338	17794	14170	15390	13929	15978	17372	13422	15518	10323	11256	10527	12902	13444	12283
cg00002473	734	658	387	301	340	495	212	274	556	754	448	329	344	365	317	445	441	345	377	407	443	303	498	566	720	485	370	311	484	404	308	1164	497	700	398	515	492	873	534	394	511	609	575	613	401	458	595	1028	632	546	171	568	285	383	562	852	446	435	437	32	220	248	362	199	511
cg00002490	29499	26511	27271	24957	25282	23248	23891	21488	22531	16586	17777	26303	17252	15702	15435	17212	17211	16487	17992	13755	14499	24992	25590	26365	23746	26084	14979	16699	26447	19815	26163	28256	26406	29637	13911	28021	14822	26996	18678	17002	14505	19703	19012	20455	15719	18257	27673	24647	27341	26657	22428	26145	25927	27765	24954	25478	28375	22242	29326	20071	22808	22525	23352	22401	21743
cg00002531	5870	3625	3491	2974	2854	2317	3159	3178	1797	3079	1775	2901	2290	2027	2193	2590	2523	2428	1557	2002	1930	3090	2698	2507	3433	2624	1852	2463	3150	1819	2731	3748	2631	4170	2254	3519	2494	3050	2862	1702	1914	2805	2991	3264	2141	2070	3604	5070	3648	4037	3778	3294	2057	4789	2828	2860	2410	2835	3670	2687	4460	4360	4119	2804	4476
cg00002591	5778	5893	5442	5929	3915	6377	4739	3796	4032	3243	2776	5271	2880	2719	2955	2536	2954	2821	3058	2124	2356	4255	4305	3335	4609	3957	2519	3137	4720	3307	4190	3918	4238	7045	3049	5372	2747	4694	3105	3033	2536	3349	3157	3159	2714	3093	5159	5972	4303	4946	3980	4247	4460	4997	4729	3180	4254	5966	5065	3979	5935	5488	2964	4899	4904
cg00002593	2925	1812	2185	2256	2421	3454	1898	2053	1256	4829	3320	1255	825	1245	1086	1186	1464	1240	1240	1136	1303	1114	1690	1553	6733	1746	1548	2021	1119	1357	1629	1975	6314	1926	1237	4852	1516	1988	1213	1763	1982	1711	1501	2172	1294	1460	3729	3050	6738	4230	3815	8987	1954	6125	1464	2122	1770	2033	1628	3161	1919	2533	1262	2342	1936
cg00002597	666	738	627	619	612	768	920	1013	572	523	441	677	403	343	360	581	340	435	421	388	427	547	583	649	652	636	418	550	570	425	495	702	1783	891	446	769	496	492	176	680	471	693	1100	704	416	482	798	1564	855	632	586	480	438	932	530	556	723	449	592	246	396	249	278	333	229
cg00002646	24966	11870	17401	17283	17360	16383	15877	4261	4872	8268	4094	7798	4628	2340	3235	7129	3912	3562	3007	2987	3400	9346	8092	10730	23605	5596	5885	9519	5986	5260	6896	23731	23401	7752	4300	21544	2803	7306	2891	2057	2241	3508	4343	6421	4712	3456	17832	16638	23317	20693	16883	21270	8526	21819	11257	7939	9797	12741	7274	13518	11498	5046	6427	19550	10584
cg00002660	14521	10281	11155	9215	8950	9339	7552	6512	9172	6684	8082	12585	6761	7532	7389	7525	7786	7069	7440	6752	6511	12700	11031	11678	12093	10794	6616	7050	9820	5696	12062	9510	9962	14354	5941	12434	6537	13446	7669	5677	5817	8426	10073	10204	8276	8748	10075	10317	10609	12604	8405	11455	11052	5401	10154	9255	12703	8600	13148	8122	9678	8772	6860	7660	8227
cg00002719	8617	16259	10959	10135	9691	8543	10773	9703	12766	11406	15391	8599	15259	12049	10740	12453	14392	12390	12636	9819	8834	13059	9700	11438	8507	12998	10519	16178	7711	11819	16878	11138	16306	12036	8825	22728	9548	18085	19893	5803	7917	11723	13046	14381	15149	13090	8524	11923	11452	11924	9896	6585	10304	2074	12801	8566	8651	6953	9552	2776	5732	3143	2470	6404	4970
cg00002749	508	386	568	788	668	820	479	2130	764	219	237	528	366	102	323	390	107	263	213	202	312	1063	785	651	810	718	270	768	456	354	426	802	584	679	244	456	289	576	695	487	1264	329	474	504	220	103	513	712	702	478	153	603	539	599	262	449	514	308	605	458	736	617	756	431	472
cg00002769	5426	2898	3458	2282	2661	3566	2513	5404	2609	3670	1451	2559	1495	1023	2348	1798	1941	1838	1513	1390	1666	3238	2772	2779	5889	2971	1268	3108	2771	1903	3094	6181	6935	3611	1896	4903	1486	3164	2421	1314	2237	2283	2379	3208	1928	1850	5518	6288	5435	6022	5759	2955	3644	2801	3476	2728	3736	3711	5914	3083	2167	4634	4721	2146	2727
cg00002808	6937	5930	4000	2336	3298	1542	2995	5856	1259	5600	3082	1843	1605	2608	2007	3161	2757	2020	1553	1511	1962	3002	1786	2295	6920	2265	3243	6489	1352	1694	2170	5101	7266	2528	2743	4796	2141	2920	1911	3154	4347	2396	3244	3684	2674	2165	6503	11516	11263	8877	9542	6297	1459	5311	2666	2093	1360	3711	1421	6121	1489	404	704	2144	1052
cg00002809	4292	4083	4176	4021	3886	4710	6478	7349	3466	2447	1880	3596	1488	1654	1550	1939	2172	1704	1431	1300	1182	3751	3336	3326	4642	3468	1241	3650	2612	1330	4256	3929	4128	4478	1482	4540	1630	4365	3960	2976	4986	2526	2499	2600	1815	2080	4267	5857	4465	5954	4165	4823	3740	4468	4226	3080	3875	3650	4371	3157	3114	2935	2957	2691	3158
cg00002810	15739	16532	15461	14150	13166	14220	13892	13385	13271	13378	14565	18333	14066	13558	14142	14474	14581	14798	15225	10814	10891	15446	15782	15447	15011	13545	12305	15308	16939	18501	17063	17250	16981	16810	11948	16387	12994	16083	18659	11983	13074	15125	17170	17859	14850	14429	15941	15235	15801	16551	13831	17794	15329	16326	15371	16284	19270	12903	17234	12216	10903	12257	14330	11257	12453
cg00002837	7349	4534	7117	3590	1528	2294	5225	5626	2165	2778	4210	4514	3057	3235	6958	7846	3683	3207	5332	3602	2207	4068	4171	2416	5517	2219	3845	7433	5334	4242	5532	3196	4312	4165	3036	5048	4922	3663	5610	1615	3770	8096	13248	5355	6228	4677	6477	10290	5373	8103	6013	3004	5674	4077	5931	4164	5778	5342	7344	751	2242	2325	1677	2295	2144
cg00002930	10227	6011	11618	8518	6767	7013	8811	4876	4879	5479	4395	5922	4163	4199	5734	7833	5346	5190	3757	3768	6000	7526	5967	6864	7803	6319	5924	11335	4261	3614	10363	8698	11335	11467	3909	10256	3770	13450	8313	7333	3827	6163	9854	5621	6129	5221	6165	6655	6291	5797	5348	6543	6630	2319	7576	5164	6885	5144	6724	2962	3697	2654	1746	2871	3169
